"gene","p-adj-pos-neg","mean-neg","mean-pos","SEM-neg","SEM-pos","Q1-neg","Q1-pos","Q3-neg","Q3-pos","count-neg","count-pos"
"ZNF573",0.164348116083323,12.9906692307692,11.0011485714286,0.631057876029427,1.06275434065341,7.5525,6.88695,16.721925,15.10475,156,35
"ZNF527",0.205935979557673,89.1400961538462,80.2982685714286,3.05428439380795,5.549398490108,65.907625,58.4466,106.39885,101.98095,156,35
"ZNF33A",0.974693779387403,833.89633974359,835.654437142857,24.6376476703535,39.682411678764,615.9628,683.167,988.660425,912.37725,156,35
"ZKSCAN3",0.762159106237707,102.277742307692,98.1432171428571,5.97510162853225,10.9293397741368,52.088675,50.3296,133.902025,133.87325,156,35
"ZNF676",0.382909712020504,20.0632974358974,13.2743742857143,3.52370865665249,4.61266612997416,0,0,14.87145,10.1555,156,35
"ZNF699",0.202448816178678,8.61712756410256,6.69569142857143,0.667056267045078,1.09754500445903,2.850725,1.8403,12.613275,8.9459,156,35
"ZNF250",0.303809855908891,157.029957692308,173.045582857143,6.4916730366912,15.461805597962,103.718075,108.1592,186.274925,199.71145,156,35
"ZNF79",0.297476562035313,92.2148583333333,85.2962571428571,3.00277096003289,3.98720726688669,68.79185,67.4429,112.26635,102.86415,156,35
"ZNF681",0.0311130141180703,57.2890455128205,31.6537285714286,5.4223112992553,5.92724612073411,11.809,6.66175,78.23275,52.2155,156,35
"ZNF766",0.73485000408349,294.376634615385,301.609402857143,9.14629181258295,19.0976366883363,207.393925,235.1621,345.170225,337.38145,156,35
"ZNF471",0.254136993358097,45.6139147435897,32.9360257142857,4.53855688652451,11.7983229280519,6.34985,4.7933,62.3967,36.2381,156,35
"ZNF836",0.465937816983462,54.7887865384615,59.6213428571429,2.73802969779941,6.80583464787555,33.929725,34.90455,64.750375,67.63735,156,35
"ZNF493",0.254493704397809,89.510625,76.3218857142857,5.15216935326977,8.07088006926378,45.139925,50.20755,123.690175,95.9856,156,35
"ZNF167",0.162366457969676,33.2631076923077,24.3547228571429,2.91049010532402,3.31903006761502,10.340825,11.76945,44.120225,31.49875,156,35
"ZNF565",0.283846151986229,56.2429301282051,60.8998285714286,1.87708947961423,3.69372449187244,41.02435,44.1626,63.389375,70.03905,156,35
"ZNF34",0.162670397242008,142.450983333333,163.629957142857,6.13980613588556,16.4515891058785,90.101925,104.0929,178.28695,200.02475,156,35
"ZNF140",0.921585062272264,301.249926923077,303.32336,9.20947520047792,16.8998149604211,225.85535,241.3865,356.868,380.0963,156,35
"ZNF658",0.229584706457369,32.0726961538462,27.8954771428571,1.56084010799641,2.2423625759681,17.45285,19.80885,41.18105,35.1494,156,35
"ZNF765",0.135578840730985,129.132058974359,109.080637142857,5.75869323034437,11.776957537003,78.46895,60.3564,173.159375,126.1044,156,35
"ZNF124",0.142775008770543,48.677875,36.9089857142857,3.64920256361589,4.44616269323995,17.819125,19.21905,61.013975,45.46615,156,35
"ZNF569",0.419728798593792,112.544205128205,102.247322857143,5.56346766998791,10.3540045368565,69.3098,54.16475,144.57015,149.096,156,35
"ZNF777",0.804229040683765,494.840348076923,487.544562857143,13.0146783014555,21.9184760149948,374.118675,406.239,601.54815,579.8018,156,35
"ZNF605",0.228170893819902,319.231668589744,285.715814285714,12.5386811897233,17.162792323793,209.2927,200.7419,398.531,361.19645,156,35
"ZNF799",0.863350267187902,145.139292948718,147.119134285714,5.08562298515481,8.58012372264222,99.546,104.218,179.6753,187.38935,156,35
"ZNF782",0.485373351027657,48.1215096153846,44.1444142857143,2.57287578124353,3.52768439271058,28.287,25.38035,61.49015,59.9152,156,35
"ZNF846",0.39830158168181,90.7017108974359,100.080482857143,4.78332088329562,9.60826942828218,55.13305,58.49305,111.2172,139.50505,156,35
"ZNF136",0.696653925644479,113.535523076923,109.33256,4.74459232427488,8.28912143212056,73.560725,68.9293,142.2907,141.70355,156,35
"ZKSCAN5",0.383728628902843,333.250694230769,313.469457142857,10.1879483383373,14.8865705454517,257.487625,250.7218,391.746825,363.69555,156,35
"ZNF33B",0.645785484569092,536.426312179487,514.522617142857,20.5747624282667,40.9442084957544,349.74675,339.70245,649.289525,609.85835,156,35
"ZNF431",0.0750608440224413,49.4788602564103,36.8805171428571,3.09605190111817,5.49004798290627,22.0844,11.32725,66.526975,58.4821,156,35
"ZNF418",0.184380396180663,47.4361320512821,36.0435685714286,3.74038400582964,6.90839994390676,11.7493,9.9312,61.092525,45.1918,156,35
"ZNF700",0.673547737486289,252.035033333333,243.65274,8.67415322174298,16.2167889616852,181.159925,183.31635,292.295775,279.6302,156,35
"ZFP28",0.515772381847248,42.4444198717949,36.6344457142857,3.60274444223256,9.88811681728841,12.448225,9.63315,53.0462,31.582,156,35
"ZNF585A",0.980939319799412,86.7600365384615,86.5276857142857,4.28227718095354,7.46137034746315,52.6639,59.892,117.125425,99.17905,156,35
"ZNF138",0.181360005147659,129.898838461538,116.267268571429,4.47579641047733,7.85669626573812,93.1778,78.89215,160.2533,141.5404,156,35
"ZNF429",0.032647731366366,89.877025,68.0805,4.61490662108362,5.73727632211656,48.35275,42.3241,115.860025,94.6095,156,35
