"gene","2-1","mean-1","mean-2","SEM-1","SEM-2","Q1-1","Q1-2","Q3-1","Q3-2"
"ZNF527",0.872080636284173,82.5921,88.3609326530612,NA,2.93984550547603,82.5921,65.28135,82.5921,108.40135
"ZNF33A",0.90453239661063,813.2147,849.039693877551,NA,24.5100784990539,813.2147,636.93315,813.2147,998.8897
"ZKSCAN3",0.876660045736945,87.6747,99.3810238095238,NA,6.18904380852875,87.6747,50.01795,87.6747,134.3456
"ZNF676",0.688468727984722,1.2706,18.9429129251701,NA,3.61598085495636,1.2706,0,1.2706,13.6369
"ZNF699",0.361397313947549,16.5184,8.71063741496599,NA,0.700970511124695,16.5184,2.638,16.5184,12.7269
"ZNF250",0.502665843159531,103.5578,151.449652380952,NA,5.85844026411848,103.5578,100.16015,103.5578,183.3142
"ZNF79",0.271308346185407,50.1906,88.9533197278912,NA,2.88550877398071,50.1906,65.48305,50.1906,106.45865
"ZNF681",0.66166051452448,74.3329,49.6522170068027,NA,4.6263761898416,74.3329,10.413,74.3329,66.49055
"ZNF766",0.265874314826003,172.1728,299.24758707483,NA,9.35225990519349,172.1728,222.7504,172.1728,351.3041
"ZNF471",0.947582281642434,45.108,41.3979047619048,NA,4.63080525602419,45.108,5.8146,45.108,58.0803
"ZNF836",0.960160410902407,57.1792,55.3953047619048,NA,2.93047221952259,57.1792,33.7111,57.1792,66.35495
"ZNF493",0.197137724062526,170.9022,88.2188653061225,NA,5.24561529768555,170.9022,47.29275,170.9022,120.3288
"ZNF167",0.200403248865568,69.8856,31.6192496598639,NA,2.44552366889996,69.8856,10.44455,69.8856,43.77985
"ZNF565",0.759452105169565,50.1906,57.4704428571429,NA,1.95061646953561,50.1906,42.3121,50.1906,65.93325
"ZNF34",0.309210385274071,69.2503,136.887536054422,NA,5.44841143002281,69.2503,90.02675,69.2503,165.78525
"ZNF140",0.650164576632609,256.6709,308.294014965986,NA,9.33698890645562,256.6709,234.2426,256.6709,376.1708
"ZNF658",0.872762329578036,33.6722,30.7428204081633,NA,1.50090449340723,33.6722,18.49095,33.6722,38.63685
"ZNF765",0.814743250354764,108.6404,125.576508163265,NA,5.93068394612183,108.6404,75.22955,108.6404,165.13785
"ZNF124",0.53663993869895,76.2262,47.458787755102,NA,3.81787657817074,76.2262,15.4965,76.2262,59.5895
"ZNF569",0.612448563471508,79.4155,112.466529931973,NA,5.35142988347375,79.4155,69.9657,79.4155,147.59245
"ZNF777",0.194806759756369,295.4257,491.927037414966,NA,12.4012966353013,295.4257,384.7636,295.4257,597.18815
"ZNF605",0.769222890207414,360.864,315.827002040816,NA,12.5945640616626,360.864,208.4873,360.864,383.5895
"ZNF799",0.879072183293527,134.6887,143.069611564626,NA,4.52002039599369,134.6887,99.1073,134.6887,183.5454
"ZNF782",0.69748019792578,34.3075,46.3658741496599,NA,2.54483715765481,34.3075,26.71815,34.3075,59.7983
"ZNF846",0.932547594995935,100.3812,94.8543952380952,NA,5.35819606512462,100.3812,54.8618,100.3812,118.3665
"ZNF136",0.919224763007131,118.1703,112.315910884354,NA,4.73715237837979,118.1703,72.997,118.1703,142.5191
"ZKSCAN5",0.445239443171402,240.1525,338.249691836735,NA,10.5343821231013,240.1525,257.09285,240.1525,405.4666
"ZNF33B",0.706064082251714,441.5502,539.557381632653,NA,21.3189695932057,441.5502,351.02755,441.5502,651.20595
"ZNF431",0.305000762310743,85.1334,45.4955517006803,NA,3.16519933668922,85.1334,15.9767,85.1334,61.4241
