"gene","N1-N0","NX-N0","NX-N1","mean-N0","mean-N1","mean-NX","SEM-N0","SEM-N1","SEM-NX","Q1-N0","Q1-N1","Q1-NX","Q3-N0","Q3-N1","Q3-NX"
"ZNF490",0.932015321018974,0.276541159922154,0.76708959995644,160.183462450593,171.923275,148.910842105263,4.27227314881141,25.8670140621337,5.5127359206339,116.2162,143.17185,97.637,184.0645,185.470875,192.11925
"ZNF626",0.00055600296495073,0.997943515387328,0.000604026527139978,82.8160818181818,332.78525,81.9091850877193,9.16925427167896,174.319096451888,7.07757809739112,18.9215,72.61875,29.145425,98.0538,484.9191,109.703525
"ZNF793",1.22328480678391e-10,0.908337221885014,3.28580829211944e-10,31.4939644268775,169.81805,33.3966350877193,2.2354312598693,78.9179568266152,4.00559770183403,6.3721,61.2771,6.690175,43.744,241.9623,46.814525
"ZNF383",0.0848774740632278,0.787277687440215,0.0631495031150088,65.272428458498,93.288675,63.3333666666667,1.5844547934569,23.072072109023,2.55085396417608,48.0532,55.912475,43.316275,76.5086,126.31325,75.652125
"ZNF669",0.520289399983935,0.311383882198718,0.339588137976956,72.7086841897233,99.050025,64.8163745614035,3.18826455581736,26.191810386594,3.82550087928111,41.8641,71.246375,37.687575,94.086,103.54785,90.296875
"ZNF559",0.00570832356251316,0.786530901026285,0.00388383761779354,167.150951383399,325.856025,159.60650877193,6.19594829183361,110.12694096818,9.57274933126343,100.3382,140.74595,90.67625,208.0017,508.379125,200.259925
"ZNF177",0.0606997499832773,0.636395159683957,0.0386453947055546,36.2000268774704,74.600375,32.7733219298246,2.18346525917963,18.512455674508,2.8548166611649,13.5453,54.85705,11.6561,45.2095,88.890275,44.719075
"ZNF548",0.435076901246859,0.829297129382902,0.368661726938437,185.494094466403,245.190975,179.170125438597,6.10403143624532,43.3647635077408,8.83067018305238,120.2716,173.121225,119.13095,223.6063,317.66045,219.4716
"ZNF563",0.666279852726967,0.999966724131528,0.670244148394233,251.113802371542,187.52845,251.242480701754,8.88263331199214,52.8475384034189,14.9263541539276,155.9331,160.860275,138.983875,315.7554,240.755675,349.5703
"ZNF567",0.286480041996414,0.869154658203215,0.242815038889518,74.4604964426877,105.62245,72.1325780701754,2.64674095173714,27.8356884706336,3.52071453687363,46.4295,66.227625,48.070525,92.7152,152.112575,90.284125
"ZNF573",0.324573144240025,0.753957600561207,0.255883922974783,12.1402830039526,17.425275,11.5492263157895,0.481770345432751,4.46594466217675,0.600786405006293,6.8823,10.313825,6.950025,15.6811,23.7041,15.256625
"ZNF527",0.364415054850709,0.683378761256389,0.278340039217248,89.4517679841897,114.6922,85.9891219298246,2.31767905802644,31.375228211255,3.37376209540108,65.5168,65.753825,59.91915,108.0064,147.511325,104.436225
