"gene","p-adj-Magnoid-Bronchioid","p-adj-Squamoid-Bronchioid","p-adj-Squamoid-Magnoid","mean-Bronchioid","mean-Magnoid","mean-Squamoid","SEM-Bronchioid","SEM-Magnoid","SEM-Squamoid","Q1-Bronchioid","Q1-Magnoid","Q1-Squamoid","Q3-Bronchioid","Q3-Magnoid","Q3-Squamoid","count-Bronchioid","count-Magnoid","count-Squamoid"
"ZNF226",0.971027278642325,0.999662119125693,0.966130946624145,291.832305128205,286.568098333333,292.369377777778,10.6923444598757,17.9165453879369,18.8897784207686,234.059075,191.899275,198.435575,344.1076,339.0965,322.146375,78,60,72
"ZNF229",0.151763901437235,0.145310078024707,0.997446518958334,96.5518551282051,142.34457,140.641741666667,11.267096445864,25.1144988368113,15.5779328252226,17.29935,11.950225,25.85235,141.752575,190.920475,236.4483,78,60,72
"ZNF180",0.904342755995301,0.137914865678092,0.0723375043706262,162.837034615385,167.382535,143.479505555556,5.21659404674649,10.8273145945001,6.50312427445349,132.7163,120.483125,108.8857,189.083625,193.0865,163.49225,78,60,72
"ZNF641",0.89236741669848,0.409059668086188,0.230508978561931,188.598371794872,195.374668333333,170.468613888889,8.18048635166577,12.7245401977211,10.6880905536317,140.309375,132.5941,107.993,245.9207,249.64415,209.439025,78,60,72
"ZNF610",0.913548139740764,0.160866973616971,0.387102270218958,61.7759166666667,65.06904,75.9699,4.03810436411062,6.95642836086918,6.16971551606827,36.46695,26.6147,43.370625,82.8426,87.93385,98.601675,78,60,72
"ZNF528",0.0488323854459052,0.988697130364578,0.0386472855101109,251.470553846154,195.751363333333,254.683293055556,14.3758654991556,18.7492583935284,16.5121028925003,172.7238,83.70515,160.665725,317.382825,262.87635,326.649975,78,60,72
"ZNF701",0.55172003372536,0.976090357247916,0.443406085300158,142.085023076923,130.061663333333,144.387652777778,6.51338235847439,10.8324578967209,7.21033077288206,106.046375,77.6018,110.50045,172.1365,156.577175,175.530275,78,60,72
"ZNF283",0.19920278747327,0.428450754711248,0.857364224426314,47.7538371794872,55.5289466666667,53.0997791666667,2.27981862329702,3.69764922960373,3.52184042016241,34.6588,36.66335,37.166775,58.847725,70.77795,62.669075,78,60,72
"ZNF558",0.998647396485813,0.227576382894431,0.252050819356172,279.863648717949,278.726595,315.879131944444,14.1332870471216,18.1151845453955,16.163404918385,189.88365,180.97185,235.9819,369.98805,335.654375,356.62655,78,60,72
"ZNF597",0.093094845630371,0.183721433158695,0.912262544872342,76.4319743589744,61.4840666666667,64.4477611111111,3.95146826162826,6.12695636332222,5.04880600017706,54.075625,42.082425,43.6674,99.86215,69.4659,73.93515,78,60,72
"ZNF30",0.968345897129641,0.678137766248979,0.847234924547172,84.0792897435897,86.51994,92.1634652777778,3.99051049850725,6.83828105307075,9.43807803611409,59.7417,52.5088,46.864125,102.1923,107.44875,107.538775,78,60,72
"ZNF354A",0.0846737166866369,0.946971086652641,0.0459306410895474,258.207771794872,215.504213333333,264.183884722222,10.3713064373127,10.2738099345659,18.6584238726038,199.884075,160.54875,181.881,309.666875,246.125325,288.634575,78,60,72
