"id","baseMean","baseMeanHealthy","baseMeanTumor","foldChange","log2FoldChange","pval","padj","medianHealthy","medianTumor","IQRhealthy","IQRtumor","SEhealthy","SEtumor"
"ZNF747",912.714329324923,821.240752388977,947.363411497629,1.15357574346105,0.206112734084259,0.255753295206845,0.362763042155316,980,950.5,149,414.5,31.1410918241477,35.1970812296854
"ZNF778",310.947792122326,254.300407061358,332.405134948451,1.30713567779798,0.386408897466304,0.0128251184481028,0.0292997573288664,289,290,128,223.75,22.7573958674244,25.5937568542236
"ZNF212",794.523509482115,704.739418114826,828.532635000027,1.17565814214898,0.233468614319462,0.219643043721274,0.325396972050003,829,796,243,383.25,35.8707866283043,32.5860659138626
"ZNF282",1754.51236735945,1349.49237513805,1907.92903107967,1.41381238325596,0.499590683297951,0.0222039090631958,0.0461786820394073,1612,1725,543,583.25,89.6591858093748,74.8818601211709
"ZNF160",1501.00118909844,1476.0485244998,1510.45295599187,1.02330846914652,0.0332411009249753,0.915475407324581,0.951982095346727,1822,1391.5,716,701.25,105.526260870616,65.1373379978103
"ZNF415",568.74541852837,534.641564029082,581.663545232646,1.0879504781656,0.121612888820876,0.438495881619943,0.54613707150555,621,556.5,169,316.25,42.2817565071904,32.710556088538
"ZNF439",434.439709526916,351.836113175319,465.728950569188,1.32370991245323,0.404586993958392,0.0020377410203655,0.00590422398208466,394,470,158,315.5,24.4002404359738,33.9319287077869
"ZNF440",651.366403612977,641.434523268498,655.128479501037,1.02134895415788,0.0304758617314338,0.797337587047582,0.860819879009969,662,661,306,440.75,51.7803218735972,37.1015058772908
"ZNF562",1010.23886481227,985.603887344829,1019.57029567115,1.03446253486055,0.0488813960440744,0.515580298603227,0.619793337682603,1042,990,575,650.75,79.0712337073351,57.1737505163906
"ZNF561",1817.44355946646,2001.93609414682,1747.56002360269,0.872934969658687,-0.196053912333231,0.118929923031534,0.200583303023333,2137,1853.5,658,1126.5,106.730000156157,86.4119211728816
"ZNF584",493.566307404295,542.271536089873,475.117357144607,0.87616134265595,-0.190731532348018,0.110130249292661,0.191457202616472,608,439.5,128,227.75,22.0423289755567,22.350031316254
"ZNF274",1411.94419896573,1541.2645751878,1362.95920797252,0.884312291292655,-0.177372153396809,0.219810933921683,0.325396972050003,1680,1316.5,851,896,148.496631611629,94.6089343702203
"ZIK1",233.880497762679,232.372141240958,234.451844929997,1.00894988391436,0.0128545153522322,0.607853557224453,0.710559847927895,261,254,57,260.75,15.6519945480866,17.3114517041334
"ZNF540",316.321772033497,334.033218386141,309.612890839313,0.926892517861508,-0.109526040759771,0.489872235520138,0.597362186479593,389,329.5,128,292,19.217273479867,21.6536469594399
