"gene","p-adj-Low Grade-High Grade","mean-High Grade","mean-Low Grade","SEM-High Grade","SEM-Low Grade","Q1-High Grade","Q1-Low Grade","Q3-High Grade","Q3-Low Grade","count-High Grade","count-Low Grade"
"ZNF613",0.00681474651456759,147.982534337349,243.287005,6.61368957280529,93.008848553435,80.8823,104.15115,171.915925,207.574475,332,20
"ZNF404",0.0454995023363012,62.4683972891566,85.792525,2.66687136692161,17.0101619860041,28.97415,43.509575,78.53275,92.164625,332,20
"ZNF135",0.0247261349894745,70.9408415662651,118.972535,4.64655231593786,40.4501173391384,9.80435,7.6079,114.870625,151.89755,332,20
"ZNF620",0.0243334263028047,58.8464346385542,81.062675,2.37122029572847,7.10612228146626,26.23985,49.699925,79.47985,109.44685,332,20
"ZNF619",0.363718231350961,41.5794746987952,36.63465,1.26355192940206,7.20288412390445,24.329975,16.93375,52.954625,46.453925,332,20
"ZNF354C",0.226314677404706,17.943959939759,12.311735,1.09080468460554,5.57524270444216,3.31775,0.940025,27.5421,13.456675,332,20
"ZNF114",0.0412617954176925,84.0198409638554,8.08701,9.08390603109469,3.24831334694517,4.0452,1.0272,87.1066,7.788,332,20
"ZNF454",0.639400355060629,8.00910722891566,6.694705,0.662975313385785,3.06384298591504,1.39855,0.966975,8.90875,5.69125,332,20
"ZNF543",0.996206355898489,112.071263855422,112.01368,2.8943292992463,11.055502824887,77.7207,83.82005,136.5552,126.155075,332,20
"ZNF354B",0.143260042787451,99.0413629518072,118.71222,3.07040327100761,19.9343088478931,60.41425,53.965425,124.316975,137.2201,332,20
"ZNF223",7.35682899477563e-06,117.962930421687,210.55218,4.55191435940684,34.6080585093001,62.312875,137.516,147.287175,221.7921,332,20
"ZNF713",0.332974000286472,40.1643638554217,31.3412,2.21850843096199,3.9663946045164,18.772325,20.351075,49.1408,38.637775,332,20
"ZNF552",7.69627555463614e-07,393.215980120482,842.078525,20.6962339149277,119.412606713256,144.3919,495.263825,566.5184,1050.060625,332,20
"ZNF154",0.000261581687382439,25.7418575301205,53.931305,1.55723471701127,17.7090469822979,10.6811,7.390575,29.665275,83.504275,332,20
"ZNF571",0.161745607173932,83.0828632530121,99.308405,2.78296279359232,9.31263115355606,48.9864,69.806625,104.119425,116.14515,332,20
"ZNF443",1.52745078629835e-05,120.321684337349,212.66756,5.00197499202073,21.575671385179,57.003425,161.1876,162.13385,259.01455,332,20
"ZNF792",0.00020916683383454,128.655458433735,205.50889,4.90993618076399,18.3615548405528,71.7132,155.41945,164.7301,258.4491,332,20
"ZFP82",0.192228193625073,78.6213596385542,62.533175,2.9718499678956,8.96137237881176,42.9982,38.3878,102.6373,71.92825,332,20
"ZNF707",0.701492668331854,319.329761445783,331.26665,7.35425950861313,34.3739950865587,225.1967,247.781025,382.4947,324.673525,332,20
"ZNF746",0.762463470682959,488.147276204819,474.43318,11.0329316063958,22.6390323829217,379.7322,395.915725,543.821625,535.30835,332,20
"ZNF678",0.453612827283517,34.0811665662651,37.95924,1.20557248591443,6.62771362855047,18.308525,17.75985,42.7154,43.37785,332,20
"HKR1",0.128329785665034,712.310754819277,850.437055,21.7844437555582,73.6396299805141,480.448525,699.941025,856.12335,928.272575,332,20
"ZNF101",0.297171544511714,113.769095180723,102.673035,2.57483554599593,6.7174841461442,82.928925,80.805575,133.29635,119.888975,332,20
"ZNF716",0.180837002225258,3.60191385542169,0.17386,0.626639101225086,0.0789816039207532,0,0,0.48165,0.0637,332,20
"ZNF708",0.103912801043094,161.470388253012,204.557365,6.37047065650068,19.9464131313064,81.245225,134.5342,207.971025,266.02215,332,20
