"gene","Stage II-Stage I","Stage III-Stage I","Stage III-Stage II","Stage IV-Stage I","Stage IV-Stage II","Stage IV-Stage III"
"ZNF286A",0.986652845000104,0.998871450973592,0.828725905329329,0.945784743141875,0.779875802488691,0.267633758158919
"ZKSCAN4",0.882462180090749,0.944501060418847,0.855330615824724,0.962446531177756,0.683190537331125,0.988279454699301
"ZNF643",0.996719763423768,0.997116105192404,0.999976457320119,0.999969970602694,0.883115889033136,0.895610256198582
"ZNF642",0.958379543511337,0.921806463812524,0.940398550573558,0.929551292805709,0.966957145647687,0.999583727310875
"ZNF490",0.911759247610415,0.636319252809271,0.0921800396643956,0.69141102043652,0.21836075909421,0.979405451922425
"ZNF626",0.752349148619235,0.346948371575523,0.0175784373858552,0.581985226771972,0.615913622313651,0.30798398246473
"ZNF793",0.669580257741863,0.329243582707888,0.0635995429268529,0.50579293953835,0.665163765856249,0.535301468738825
"ZNF383",0.81156170021578,0.960296511512126,0.299416798701377,0.875271584963697,0.934382056915786,0.653644727450014
"ZNF669",0.953594317091954,0.875740755598793,0.73813896810861,0.987452890583637,0.832411654416512,0.238107739480433
"ZNF559",0.999564298118772,0.974687348036835,0.0881979521499344,0.983800273003262,0.165792157442761,0.993129889082311
"ZNF177",0.945163613750327,0.529273017190081,0.00242990462243164,0.568628694271358,0.00682958778038945,0.992801470465356
"ZNF548",0.931663053744134,0.958575596635542,0.970906274186029,0.977419826788822,0.823506027217815,0.973319586057609
"ZNF563",0.999615065357444,0.999901821343276,0.998333975470569,0.999998910060305,0.955213762395844,0.984669078301891
"ZNF567",0.888762512385755,0.94944627416417,0.848983126237324,0.787286914926011,0.786128331100856,0.293457650046511
"ZNF573",0.937838762191226,0.880676196985127,0.893420999046436,0.998964201050498,0.21536446054838,0.0392571836876965
"ZNF527",0.999999999465794,0.993518812357447,0.64512466383293,0.998866385011212,0.917626565423426,0.953083013499089
"ZNF33A",0.946171463707957,0.681374520401012,0.0614543997651282,0.853884652062375,0.688215366996584,0.502857268943117
"ZKSCAN3",0.999956104031577,0.997874533072896,0.936016241805811,0.992552154647273,0.746696779079444,0.973590545479649
"ZNF676",0.631382508400811,0.82330047987071,0.457459055608473,0.91535531853314,0.0791812091624352,0.77536260550125
"ZNF699",0.999999967185807,0.999969313858694,0.996437464671211,0.99605236817103,0.76815493702507,0.629314221862271
"ZNF250",0.809127817071215,0.542079346258295,0.203716568788815,0.699941150226432,0.832914813252817,0.679295604088711
"ZNF79",0.999360437568768,0.990994013839177,0.865434796006551,0.968303331698762,0.450530921564481,0.888970781972532
"ZNF681",0.0713343284740088,0.0270433232233297,0.370481360186373,0.0780143013771603,0.998422834797652,0.279699157033089
"ZNF766",0.747434649733115,0.597506444564573,0.702264843169127,0.785478391627169,0.990693784957015,0.508153007221877
"ZNF471",0.0354192006217692,0.0264507635862304,0.968524643991413,0.0350588780788675,0.999999071660709,0.970801589856666
"ZNF836",0.240903032785067,0.0830626777555626,0.114860066269559,0.222936782692783,0.997804767822132,0.167336346061578
"ZNF493",0.19623042445027,0.0495732993510788,0.0394099508648115,0.0573250446844895,0.0778906110634586,0.994750685156318
"ZNF167",0.966437011706901,0.967922570106214,0.99998569357935,0.98558318414877,0.953275452356765,0.959836701341346
"ZNF565",0.98034620649984,0.999991728835717,0.252763499315484,0.989929613717417,0.985173750522593,0.437971016079314
"ZNF34",0.571665921958564,0.667268740536935,0.906421277424516,0.669783445473597,0.902668699032363,0.999998554990476
"ZNF140",0.999287560531154,0.958897437944656,0.342550921098017,0.96516031103047,0.421330365235938,0.999279124963088
"ZNF658",0.976294711503224,0.73205836943358,0.0320523272421439,0.785668537141157,0.097825757863005,0.975199087857988
"ZNF765",0.014030440995874,0.0134059265206367,0.999933637953186,0.043688482948628,0.300492755617425,0.261932499773664
"ZNF124",0.446812939272624,0.281604477077413,0.543887648694834,0.403359976613171,0.988585177814329,0.742505080901099
"ZNF569",0.988306585924837,0.995350012677609,0.980111400467482,0.992254847580482,0.997660420936938,0.99716361455323
"ZNF777",0.596190252758553,0.462908313146633,0.785299326321291,0.433743626608492,0.662962251399992,0.996360720789901
