"gene","p-adj-N1-N0","p-adj-NX-N0","p-adj-NX-N1","mean-N0","mean-N1","mean-NX","SEM-N0","SEM-N1","SEM-NX","Q1-N0","Q1-N1","Q1-NX","Q3-N0","Q3-N1","Q3-NX","count-N0","count-N1","count-NX"
"ZNF585A",0.325630749273509,0.993960736403381,0.304566452569719,176.652411297071,155.33520625,177.185780935252,3.60562472791139,11.8974058043111,3.5856494715854,144.46065,127.4293,138.60005,206.14985,178.726,206.57515,239,16,278
"ZNF138",0.603333539953407,0.468605524312662,0.841480643046809,158.136857322176,141.12244375,151.013184532374,4.23304981849601,10.9958151683416,4.3468280882479,115.1907,122.555175,109.6338,184.54055,170.00655,171.604225,239,16,278
"ZNF429",0.151426221010556,0.192923486653154,0.411142566193038,213.788763598326,156.219475,195.440342805755,10.0307000828993,13.1797879066063,4.89856281281481,140.82375,105.78775,141.544375,253.71995,195.10855,234.7782,239,16,278
"ZNF470",0.0533544521907285,0.369526647218387,0.0147587152549278,215.755960251046,132.97925625,232.149542805755,9.21446666266276,22.0100544081619,8.16567206324607,126.64245,77.1137,126.506625,282.2323,182.485375,313.893775,239,16,278
"ZNF100",0.805982391612051,0.274071929720847,0.994392413914135,194.154185774059,181.5987,183.615824100719,5.41915600347954,12.3899520519317,4.40065674489776,135.6501,142.166225,134.040225,228.9475,220.60455,216.868475,239,16,278
"ZNF398",0.428511203008724,0.87848193290719,0.525728702092674,359.127928451883,329.7576875,355.213044964029,6.37617101191959,23.0231036362858,5.09525346954642,299.90725,254.593,293.77785,405.27295,381.3343,404.371075,239,16,278
"ZNF498",0.88906920096504,0.742969889420924,0.754076213387442,420.337645606695,379.52699375,442.509025539568,6.59488422153595,20.9178935685226,27.7848846887885,360.71985,323.987325,360.1385,469.74645,420.815675,461.55135,239,16,278
"ZNF441",0.545837424575724,0.981360687441966,0.503511789583016,232.445153974895,204.89433125,234.101472302158,6.76067311848778,48.4339730830856,5.47930488349304,166.947,114.53675,174.278375,283.83865,195.29195,274.2736,239,16,278
"ZNF420",0.021089853518553,0.993635868054799,0.0183487923985099,151.035521338912,111.56858125,151.578183453237,3.89591535612591,11.5829086105751,3.29582236920417,105.1143,79.22715,111.885775,187.90135,146.8011,191.19745,239,16,278
"ZNF763",0.258607951395588,0.913883791630706,0.320891977526538,84.5726276150628,67.79426875,83.0989356115108,2.82891992523654,13.3042181583283,2.30035107155866,55.109,35.736525,58.75455,109.2746,77.3223,101.6307,239,16,278
