"gene","MALE-FEMALE","mean-FEMALE","mean-MALE","SEM-FEMALE","SEM-MALE","Q1-FEMALE","Q1-MALE","Q3-FEMALE","Q3-MALE","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF782",0.245130387566624,50.4169338582677,47.3783289256198,2.63243305200671,1.24037711766998,30.80715,31.8053,64.62115,59.06725,43.3826764705882,48.4543640718563,41.8476,43.4318,37.43695,49.81995,31.6437,60.6557,1.41401103100667,1.14667928944394,1.11690582540951,1.03785641231516,0.15950754666061,0.0536068602949874,"LUSC"
"ZNF846",0.570147517637441,76.3813590551181,79.4061738292011,3.90391060164305,2.83640806127859,48.2248,45.72915,90.7447,97.73805,81.1205588235294,79.1531379241517,74.8483,64.9017,61.94395,100.6311,46.3613,95.5273,4.19921692347624,2.45855739186801,0.975746950860414,0.867109874238961,-0.0354210455351339,-0.205713281398411,"LUSC"
"ZNF136",0.231217419009242,196.662933070866,187.110868044077,6.91017194655467,4.04610976702431,142.83725,131.0027,240.41155,234.14795,251.09618627451,190.181720558882,240.0261,179.0989,211.6875,284.6423,132.8461,239.2796,7.22871217671939,3.48684632470813,0.757405850644688,0.746164271302162,-0.400861529403771,-0.422434813865946,"LUSC"
"ZKSCAN5",0.699060433942933,399.661209448819,405.145326721763,13.4262143678476,6.94825374110023,306.3312,321.99,456.5593,455.913,302.545766666667,410.021372255489,299.9326,374.2881,283.4322,325.02885,314.3875,455.635,4.57349611708778,9.46380477995148,1.35523751256859,1.2479073631876,0.438545713702216,0.319510841547692,"LUSC"
"ZNF33B",0.898680816341106,452.550708661417,449.467357024793,21.1394105132254,12.2579308848986,291.461,302.6283,562.7326,519.7623,691.724529411765,451.821901796407,672.2077,394.9612,607.1338,826.4906,301.5098,542.9872,28.0844628717749,10.4567050731056,0.653181841304127,0.587558279978048,-0.614443410884006,-0.767196135013621,"LUSC"
"ZNF431",0.231573000170547,190.00001023622,177.454596969697,9.26080937163884,5.28053487189339,119.1788,114.7673,239.1812,223.65375,190.256345098039,181.532573253493,188.3289,164.8058,144.28505,228.91915,115.5378,229.3963,8.86834208887856,4.51872376362341,0.954147275140543,0.87509564384436,-0.067716127696227,-0.192487389531969,"LUSC"
"ZNF418",0.880391846861666,39.7124393700787,38.8568330578512,4.28375511246657,3.00836355103956,10.6909,8.35535,47.31865,42.61865,50.9980156862745,38.6692431137725,49.652,16.8805,36.64285,62.1703,8.8981,44.6749,3.03368564123288,2.43882084770711,0.758249955285609,0.339976234592766,-0.399254587114384,-1.55649419391701,"LUSC"
"ZNF700",0.724535738602541,299.235520472441,293.858512396694,13.0807880920048,7.77256221164886,201.35155,200.0662,352.50135,344.5372,252.089274509804,297.611991217565,238.8481,277.1795,194.12285,292.2393,199.3437,347.3819,11.6880722541753,6.7351790470031,1.18058172762916,1.16048442503834,0.239497917859658,0.214727160277628,"LUSC"
"ZFP28",0.667683027032329,116.351448031496,120.461577134986,7.49596160585053,5.01403864918694,38.159,38.59545,170.2906,174.0997,185.466417647059,120.316090618762,187.9281,105.5161,162.8568,202.9458,38.7597,174.0122,4.51940594923428,4.16121796459414,0.648721704690081,0.561470583696637,-0.624328386108242,-0.832717655283176,"LUSC"
"ZNF585A",0.863753830494848,134.59277480315,132.95572231405,8.27042515762643,4.84113912900475,80.29255,68.68095,167.07565,174.73325,132.149447058824,134.825864271457,126.6947,120.6567,111.0926,143.46575,70.49,173.7892,5.08726341719131,4.21819596422268,1.02025295808799,0.952342126387292,0.0289268935047992,-0.0704481438622276,"LUSC"
