"gene","N1-N0","N2-N0","N2-N1","NX-N0","NX-N1","NX-N2","mean-N0","mean-N1","mean-N2","mean-NX","SEM-N0","SEM-N1","SEM-N2","SEM-NX","Q1-N0","Q1-N1","Q1-N2","Q1-NX","Q3-N0","Q3-N1","Q3-N2","Q3-NX"
"ZNF665",0.0921719926674514,0.676168909617124,0.90901914257147,0.932715908333937,0.186477604248437,0.816219470422218,45.24206,17.3001666666667,29.25475,42.035085,2.85952091401061,8.02638189147375,10.47405,5.16529923182871,29.7036,11.40285,24.017725,24.3882,57.05665,24.96405,34.491775,61.6775
"ZNF624",0.998741027959982,0.898625063670091,0.968971795584612,0.196905904289326,0.73012954508556,0.492004339615717,60.0980975,57.9726666666667,48.3157,72.955205,3.31878960294974,12.1391740567928,8.5869,6.3208467581924,46.2296,46.525,44.02225,57.084875,72.382975,67.19405,52.60915,89.616275
"ZNF841",0.819664225457939,0.700308615119654,0.991470052126584,0.889530675504925,0.952803319844744,0.85675695246346,245.27245,202.2455,180.44735,229.04764,12.0700808551739,46.4148892001622,54.86925,21.0886664058289,197.0999,166.349,153.012725,139.866125,282.9383,245.67585,207.881975,311.44605
"ZNF615",0.663122275385873,0.891127123809953,0.997755136695555,0.0449510323194818,0.11046451393077,0.338222599435997,147.171205,103.539466666667,114.2444,193.959855,8.49615538757577,15.7012484251342,34.3565,18.5374149375704,115.930025,90.93955,97.06615,141.393925,164.559425,117.9529,131.42265,239.445275
"ZNF433",0.996595771294923,0.590210153846922,0.823892662323262,0.135388038858652,0.86891427658934,0.974576385180067,206.02215,217.3066,287.33955,259.537805,8.45952885932523,97.7417082285926,112.38015,27.5314573552667,174.18255,143.8018,231.149475,191.69995,227.270625,309.85205,343.529625,320.784325
"ZNF595",0.570562101797412,0.00012132494435968,0.000174165975820539,0.770168266301868,0.344495232483696,0.000595687449606364,167.4480975,116.900533333333,385.55485,184.685775,7.61380029288037,30.1708201922174,192.42245,15.3907879440813,143.574775,90.4011,289.343625,136.179275,187.00855,142.642,481.766075,223.3311
"ZNF460",0.840577290908262,0.998762040002444,0.974209909595873,0.691362341392437,0.98905551425951,0.99388319114246,87.6561175,65.4085,82.75355,74.157565,6.07533757499552,33.0449910513429,5.10815,12.4044273609938,65.1648,32.38,80.199475,44.370025,97.638825,82.82675,85.307625,83.1944
"ZNF81",0.825555048111842,0.994405356621677,0.983276441468207,0.99828074323092,0.801945522727805,0.98983918067728,139.2175425,113.838766666667,130.2544,141.493395,7.76570420350396,23.7430901853805,4.57390000000001,11.5756256695025,99.994375,90.2984,127.96745,115.660925,162.7064,128.2902,132.54135,168.738675
"ZNF780A",0.982549738375871,0.988358051108949,0.959205905742413,0.88223553492963,0.999987904226956,0.935869092537033,258.0920025,241.488066666667,275.5777,242.98126,12.0061645019353,10.437886119059,73.1951,16.753812080558,218.35625,231.35605,238.98015,194.795175,295.469275,248.72635,312.17525,294.249025
"ZNF461",0.6487889624917,0.926100554184399,0.593844867135126,0.77338837410591,0.412466999679928,0.994493748973992,94.8868675,73.7826666666667,108.3865,102.80545,4.37557997180182,12.2880535462068,29.9002,7.7737018147202,79.93985,63.2602,93.4364,81.850975,109.76555,84.53985,123.3366,131.096875
"ZNF181",0.990549686259541,0.938208866881676,0.993598823670391,0.170490355191831,0.921589314946723,0.996970161786669,229.5972425,245.611066666667,266.9997,280.493225,10.8546253472413,86.0329535162803,92.0873,25.172684529684,185.251275,187.5617,220.95605,218.2278,266.90325,329.62625,313.04335,303.839625
"ZNF44",0.999948205871112,0.924844895698755,0.952103856848724,0.993158294691742,0.999884615102867,0.894237163477327,413.25012,408.8535,476.5446,402.91291,22.7906175134632,133.003197898735,23.5984,27.5290751134676,318.7695,297.8564,464.7454,334.00825,493.045325,527.81165,488.3438,459.625925
"ZNF790",0.257113093930976,0.895525804559742,0.911584031096158,0.927120337162343,0.429589996859546,0.967424114464478,131.9111875,85.0972,110.4666,124.8273,6.21248888448491,23.8021069472852,17.1239,10.7523788550157,108.534275,63.81035,101.90465,104.2423,153.930325,104.9633,119.02855,144.1493
"ZNF677",0.133006193409075,0.822137979275394,0.153848847021163,0.962152635280736,0.23103728238757,0.735231299422079,78.9936275,35.4278333333333,99.69855,74.612635,5.23699671812026,24.7597377994553,8.78075,7.20964016974303,56.418975,11.208,95.308175,53.08325,102.628575,51.9912,104.088925,93.972275
