"gene","p-adj-Esophagus Squamous Cell Carcinoma-Esophagus Adenocarcinoma, NOS","mean-Esophagus Adenocarcinoma, NOS","mean-Esophagus Squamous Cell Carcinoma","SEM-Esophagus Adenocarcinoma, NOS","SEM-Esophagus Squamous Cell Carcinoma","Q1-Esophagus Adenocarcinoma, NOS","Q1-Esophagus Squamous Cell Carcinoma","Q3-Esophagus Adenocarcinoma, NOS","Q3-Esophagus Squamous Cell Carcinoma","count-Esophagus Adenocarcinoma, NOS","count-Esophagus Squamous Cell Carcinoma"
"ZNF154",0.0033593202884572,76.6210215909091,54.7560177083333,4.74735963467858,5.53846537367836,43.6194,24.687325,105.90435,63.40175,88,96
"ZNF571",0.951129211818045,61.2533409090909,60.8284479166667,5.0512724523182,4.74293560431972,25.39815,29.878975,76.828125,75.302425,88,96
"ZNF443",1.81836412593839e-09,73.9512431818182,42.1697927083333,3.82752948711067,3.28156869351424,50.1031,22.927525,91.34715,51.925,88,96
"ZNF792",3.70814490224802e-14,223.821503409091,103.531922916667,10.5884206118121,8.84572438940092,161.097,48.8354,276.548375,127.375625,88,96
"ZFP82",0.0151765917414372,30.6704090909091,57.5444802083333,4.570403968232,9.62214231176491,8.117725,11.7266,33.178325,64.83115,88,96
"ZNF707",0.0131083856701687,193.2558375,223.471178125,8.54791988744617,8.48082112979939,141.081125,163.8004,229.3131,261.39915,88,96
"ZNF746",0.000830233519158008,552.759493181818,704.04964375,18.88514756296,38.9301528794615,449.523975,442.9328,665.6748,832.46055,88,96
"ZNF678",0.00976522447695916,90.1788159090909,72.2712885416667,4.84610986817196,4.83384630801119,53.68535,41.4204,118.6279,91.4815,88,96
"HKR1",0.0311947013244691,515.127715909091,430.574932291667,29.4730375562362,25.6915037411101,355.39345,273.915825,618.618025,491.573075,88,96
"ZNF101",0.00647762001383678,168.959870454545,135.835420833333,7.54865653104349,9.20215879566828,126.69795,92.254575,204.416325,158.201375,88,96
"ZNF716",0.0578825251855435,14.0870079545455,5.14715416666667,4.23696258663429,2.24305535739578,0,0,1.24385,0.4101,88,96
"ZNF708",1.27973331742748e-06,190.048421590909,114.624872916667,11.5604768663277,9.76900291242837,123.98825,44.92005,222.74905,159.544075,88,96
"ZNF721",0.000122198355158809,617.467836363636,448.302263541667,37.5649060340481,22.7184128807306,413.1432,312.693325,702.224875,549.44575,88,96
"ZNF662",0.524391277327246,61.24165,53.131215625,11.2242146986182,6.51081550939176,9.444225,16.178675,66.05105,64.273525,88,96
"ZNF320",5.24982279870301e-11,505.570086363636,249.774992708333,29.8241365041864,21.974897052443,319.140975,77.3835,673.425525,324.52095,88,96
"ZNF530",0.15381503593919,71.4107670454545,61.3115729166667,6.15729715376322,3.70621581490447,33.402725,35.135525,88.3085,78.892125,88,96
"ZFP1",1.79381065557038e-08,199.583994318182,274.082975,8.95164476913681,8.89508197746005,140.4471,223.563025,232.8538,306.76,88,96
"KRBA2",0.00287775132002333,60.3005056818182,80.8856833333333,3.52571253145519,5.66512092747971,39.015725,43.596475,78.81845,102.356675,88,96
"ZNF93",0.208826495899433,67.8320159090909,86.3211604166667,8.26659578772612,11.8121425896818,12.42445,25.29765,100.210325,119.5985,88,96
"ZFP90",1.66215263774916e-10,396.622726136364,611.077645833333,18.2936578461452,25.2378776655722,279.53655,411.31235,498.358375,757.791775,88,96
"ZNF479",0.22618910589868,1.77724545454545,0.659659375,0.888719186505608,0.336178607018735,0,0,0.066575,0,88,96
